LegacyTypeIdentity	StableFullName	CurrentAssembly	CurrentTypeIdentity	MigrationPolicy
XREngine.Components.Animation.HumanoidComponent, XREngine	XREngine.Components.Animation.HumanoidComponent	XREngine.Runtime.AnimationIntegration	XREngine.Components.Animation.HumanoidComponent, XREngine.Runtime.AnimationIntegration	StableFullNameFallback
XREngine.Components.Animation.TransformParameterDriverComponent, XREngine	XREngine.Components.Animation.TransformParameterDriverComponent	XREngine.Runtime.AnimationIntegration	XREngine.Components.Animation.TransformParameterDriverComponent, XREngine.Runtime.AnimationIntegration	StableFullNameFallback
XREngine.Components.AudioListenerComponent, XREngine	XREngine.Components.AudioListenerComponent	XREngine.Runtime.AudioIntegration	XREngine.Components.AudioListenerComponent, XREngine.Runtime.AudioIntegration	StableFullNameFallback
XREngine.Components.AudioSourceComponent, XREngine	XREngine.Components.AudioSourceComponent	XREngine.Runtime.AudioIntegration	XREngine.Components.AudioSourceComponent, XREngine.Runtime.AudioIntegration	StableFullNameFallback
XREngine.Components.DearImGuiComponent, XREngine	XREngine.Components.DearImGuiComponent	XREngine.Runtime.Rendering	XREngine.Components.DearImGuiComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Components.FlyingCameraPawnBaseComponent, XREngine	XREngine.Components.FlyingCameraPawnBaseComponent	XREngine.Runtime.InputIntegration	XREngine.Components.FlyingCameraPawnBaseComponent, XREngine.Runtime.InputIntegration	StableFullNameFallback
XREngine.Components.FlyingCameraPawnComponent, XREngine	XREngine.Components.FlyingCameraPawnComponent	XREngine.Runtime.InputIntegration	XREngine.Components.FlyingCameraPawnComponent, XREngine.Runtime.InputIntegration	StableFullNameFallback
XREngine.Components.UICanvasComponent, XREngine	XREngine.Components.UICanvasComponent	XREngine.Runtime.Rendering	XREngine.Components.UICanvasComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Components.UICanvasInputComponent, XREngine	XREngine.Components.UICanvasInputComponent	XREngine.Runtime.InputIntegration	XREngine.Components.UICanvasInputComponent, XREngine.Runtime.InputIntegration	StableFullNameFallback
XREngine.Data.Components.Scene.VRHeadsetComponent, XREngine	XREngine.Data.Components.Scene.VRHeadsetComponent	XREngine.Runtime.InputIntegration	XREngine.Data.Components.Scene.VRHeadsetComponent, XREngine.Runtime.InputIntegration	StableFullNameFallback
XREngine.ModelAssetImporter, XREngine	XREngine.ModelAssetImporter	XREngine.Runtime.ModelAssetPipeline	XREngine.ModelAssetImporter, XREngine.Runtime.ModelAssetPipeline	StableFullNameFallback
XREngine.Rendering.EFontAtlasType, XREngine	XREngine.Rendering.EFontAtlasType	XREngine.Runtime.Rendering	XREngine.Rendering.EFontAtlasType, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.FontGlyphSet, XREngine	XREngine.Rendering.FontGlyphSet	XREngine.Runtime.Rendering	XREngine.Rendering.FontGlyphSet, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.Models.ModelImportOptions, XREngine	XREngine.Rendering.Models.ModelImportOptions	XREngine.Runtime.ModelAssetPipeline	XREngine.Rendering.Models.ModelImportOptions, XREngine.Runtime.ModelAssetPipeline	StableFullNameFallback
XREngine.Rendering.UI.BoolInput, XREngine	XREngine.Rendering.UI.BoolInput	XREngine.Runtime.Rendering	XREngine.Rendering.UI.BoolInput, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.ContextMenuItem, XREngine	XREngine.Rendering.UI.ContextMenuItem	XREngine.Runtime.Rendering	XREngine.Rendering.UI.ContextMenuItem, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.EBatchedTextDebugMode, XREngine	XREngine.Rendering.UI.EBatchedTextDebugMode	XREngine.Runtime.Rendering	XREngine.Rendering.UI.EBatchedTextDebugMode, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.ECanvasDrawSpace, XREngine	XREngine.Rendering.UI.ECanvasDrawSpace	XREngine.Runtime.Rendering	XREngine.Rendering.UI.ECanvasDrawSpace, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.EDropLocationFlags, XREngine	XREngine.Rendering.UI.EDropLocationFlags	XREngine.Runtime.Rendering	XREngine.Rendering.UI.EDropLocationFlags, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.EHorizontalAlignment, XREngine	XREngine.Rendering.UI.EHorizontalAlignment	XREngine.Runtime.Rendering	XREngine.Rendering.UI.EHorizontalAlignment, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.ELayoutPhase, XREngine	XREngine.Rendering.UI.ELayoutPhase	XREngine.Runtime.Rendering	XREngine.Rendering.UI.ELayoutPhase, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.EListAlignment, XREngine	XREngine.Rendering.UI.EListAlignment	XREngine.Runtime.Rendering	XREngine.Rendering.UI.EListAlignment, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.ESizingMode, XREngine	XREngine.Rendering.UI.ESizingMode	XREngine.Runtime.Rendering	XREngine.Rendering.UI.ESizingMode, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.EUIDockStyle, XREngine	XREngine.Rendering.UI.EUIDockStyle	XREngine.Runtime.Rendering	XREngine.Rendering.UI.EUIDockStyle, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.EVerticalAlign, XREngine	XREngine.Rendering.UI.EVerticalAlign	XREngine.Runtime.Rendering	XREngine.Rendering.UI.EVerticalAlign, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.EVerticalAlignment, XREngine	XREngine.Rendering.UI.EVerticalAlignment	XREngine.Runtime.Rendering	XREngine.Rendering.UI.EVerticalAlignment, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.EVisibility, XREngine	XREngine.Rendering.UI.EVisibility	XREngine.Runtime.Rendering	XREngine.Rendering.UI.EVisibility, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.Functions.EditorFunctionGrid, XREngine	XREngine.Rendering.UI.Functions.EditorFunctionGrid	XREngine.Runtime.Rendering	XREngine.Rendering.UI.Functions.EditorFunctionGrid, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.IMenu, XREngine	XREngine.Rendering.UI.IMenu	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IMenu, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.IMenuDivider, XREngine	XREngine.Rendering.UI.IMenuDivider	XREngine.Runtime.Rendering	XREngine.Rendering.UI.IMenuDivider, XREngine.Runtime.Rendering	StableFullNameFallback
