Project	Role	TargetFramework	RepositoryCSharpFiles	ProjectReferences	PackageReferences	PackageReferenceUpdates	FriendAssemblies	CustomTargets	ProjectPath
XREngine.Extensions	Destination	net10.0    	36		MemoryPack;Meshoptimizer.NET				XREngine.Extensions/XREngine.Extensions.csproj
XREngine.Data	Destination	net10.0    	513	XREngine.Extensions	K4os.Compression.LZ4;LZMA-SDK;MemoryPack;NAudio;NAudio.Lame;NAudio.Vorbis;NVorbis;SharpZipLib;Silk.NET.Core;Silk.NET.DirectStorage;Silk.NET.DirectStorage.Native;Silk.NET.OpenGLES.Extensions.EXT;System.Drawing.Common;System.IO.Hashing;YamlDotNet;ZstdSharp.Port		XREngine.UnitTests		XREngine.Data/XREngine.Data.csproj
XREngine.Animation	Destination	net10.0    	172	XREngine.Data	ImmediateReflection		XREngine.UnitTests		XREngine.Animation/XREngine.Animation.csproj
XREngine.Audio	Destination	net10.0    	129	XREngine.Data	FFmpeg.AutoGen;Google.Cloud.Speech.V1;Google.Cloud.TextToSpeech.V1;MathNet.Numerics;MathNet.Numerics.Providers.CUDA;NAudio;NAudio.Lame;NAudio.Sdl2;NAudio.Vorbis;NVorbis;Silk.NET.OpenAL;Silk.NET.OpenAL.Extensions.Creative;Silk.NET.OpenAL.Extensions.Enumeration;Silk.NET.OpenAL.Extensions.EXT;Silk.NET.OpenAL.Extensions.Soft;Silk.NET.OpenAL.Soft.Native		XREngine.UnitTests		XREngine.Audio/XREngine.Audio.csproj
XREngine.Modeling	Destination	net10.0    	14	XREngine.Data	MemoryPack;Meshoptimizer.NET;MIConvexHull				XREngine.Modeling/XREngine.Modeling.csproj
XREngine.Fbx	Destination	net10.0    	19	XREngine.Data					XREngine.Fbx/XREngine.Fbx.csproj
XREngine.Gltf	Destination	net10.0	7					BuildFastGltfBridge;PrepareFastGltfBridgeBuildState;ValidateExistingFastGltfBridge	XREngine.Gltf/XREngine.Gltf.csproj
XREngine.Input	Destination	net10.0    	30	XREngine.Data;XREngine.Extensions	DXNET.XInput;Silk.NET;Silk.NET.Input;Silk.NET.Input.Common;Silk.NET.Input.Extensions;Silk.NET.Input.Glfw				XREngine.Input/XREngine.Input.csproj
XREngine.Runtime.Core	Destination	net10.0-windows7.0     	727	XREngine.Data;XREngine.Extensions	BitsKit;DotnetNoise;Jitter2;JoltPhysicsSharp;Magick.NET-Q16-HDRI-x64;MagicPhysX;MemoryPack;Newtonsoft.Json;Silk.NET.Core;Silk.NET.DirectStorage;Silk.NET.DirectStorage.Native;System.IO.Hashing;YamlDotNet			EnsureCoACD	XREngine.Runtime.Core/XREngine.Runtime.Core.csproj
XREngine.Runtime.Rendering	Destination	net10.0-windows7.0    	1872	XREngine.Data;XREngine.Extensions;XREngine.Runtime.Core	BitsKit;DotnetNoise;FFmpeg.AutoGen;GraphQL;ImGui.NET;ImmediateReflection;Magick.NET-Q16-HDRI-x64;MathNet.Numerics;MathNet.Numerics.Providers.CUDA;MemoryPack;Meshoptimizer.NET;MIConvexHull;Raylib-cs;SharpFont.Dependencies;SharpFont.NetStandard;Silk.NET;Silk.NET.Core;Silk.NET.Core.Win32Extras;Silk.NET.Direct3D.Compilers;Silk.NET.Direct3D12;Silk.NET.GLFW;Silk.NET.Input;Silk.NET.Input.Common;Silk.NET.Input.Extensions;Silk.NET.Input.Glfw;Silk.NET.Input.Sdl;Silk.NET.OpenXR;Silk.NET.OpenXR.Extensions.EXT;Silk.NET.OpenXR.Extensions.HTC;Silk.NET.OpenXR.Extensions.HTCX;Silk.NET.OpenXR.Extensions.KHR;Silk.NET.OpenXR.Extensions.MSFT;Silk.NET.OpenXR.Extensions.VALVE;Silk.NET.SDL;Silk.NET.Windowing;Silk.NET.Windowing.Common;Silk.NET.Windowing.Extensions;Silk.NET.Windowing.Glfw;Silk.NET.Windowing.Sdl;Silk.NET.XInput;SkiaSharp;Svg.Skia;System.IO.Hashing;System.Management;UltralightNet;UltralightNet.AppCore;YamlDotNet			CopyRestirNative;EnsureHlsReferenceFfmpeg;ForceFreetype64;ForceFreetype64Publish	XREngine.Runtime.Rendering/XREngine.Runtime.Rendering.csproj
